area_type,availability,location,size,society,dist_mainroad,street_type,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Whitefield,3 Bedroom,,64,No Access,1600,3.0,0.0,69.1
Super built-up  Area,Ready To Move,Hosur Road,4 BHK,Saageat,88,Gravel,2800 - 2870,4.0,0.0,241.0
Super built-up  Area,21-Mar,Yelahanka,1 BHK,Goues A,177,No Access,682,1.0,1.0,36.23
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,Adowslm,158,No Access,2500,4.0,1.0,420.0
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,Prlla C,88,Paved,1650,3.0,2.0,85.5
Super built-up  Area,18-Apr,Haralur Road,3 BHK,SNnia E,174,No Access,1850,3.0,2.0,120.0
Plot  Area,Ready To Move,Gubbalala,4 Bedroom,,151,Gravel,2000,4.0,1.0,85.0
Super built-up  Area,18-May,Phase 1 Kammasandra,2 BHK,,131,Paved,982,2.0,1.0,25.0
Built-up  Area,Ready To Move,Nandi Durga Road,2 BHK,,21,Gravel,2015,4.0,0.0,325.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,19,Paved,1702,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,,145,Paved,1250,2.0,2.0,79.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,49,Paved,1240,2.0,2.0,40.54
Plot  Area,Ready To Move,Sneha Colony,2 Bedroom,MGntsar,139,Gravel,1050,2.0,1.0,110.0
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Goues A,87,No Access,1023,2.0,1.0,52.59
Super built-up  Area,Ready To Move,Dairy Circle,2 BHK,Soeurri,36,No Access,1541,2.0,1.0,181.0
Super built-up  Area,Ready To Move,Siddapura,2 BHK,Vidgema,131,Paved,1275,2.0,1.0,105.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,BrdgeNo,40,Gravel,1230 - 1290,2.0,0.0,71.195
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Brtondd,151,Paved,1580,3.0,3.0,125.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Inntss ,68,Paved,1343,2.0,2.0,75.0
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,193,No Access,1365,3.0,1.0,52.81
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,121,No Access,1047,2.0,1.0,72.0
Built-up  Area,Ready To Move,Shampura,2 BHK,Koillph,129,No Access,1187,2.0,2.0,42.0
Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,,62,No Access,1050,3.0,0.0,147.0
Plot  Area,18-Feb,Frazer Town,1 Bedroom,,143,No Access,560,1.0,0.0,90.0
Built-up  Area,Ready To Move,Banashankari Stage III,3 Bedroom,,96,Paved,1000,2.0,1.0,120.0
Plot  Area,Ready To Move,Nagadevanahalli,5 Bedroom,,172,Paved,1200,5.0,,260.0
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,136,Gravel,1075,2.0,2.0,45.0
Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,24,Gravel,2048,3.0,2.0,206.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Vaw 1il,74,Gravel,1090,2.0,1.0,57.0
Super built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,URodsmb,200,Paved,1119,2.0,1.0,48.5
Super built-up  Area,Ready To Move,Poornapragna Housing Society Layout,3 BHK,,169,Gravel,1355,2.0,3.0,58.25
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,62,Paved,1445,2.0,2.0,86.69
Plot  Area,Ready To Move,Electronics City Phase 1,6 Bedroom,,85,No Access,1314,5.0,1.0,120.0
Super built-up  Area,19-Jan,Malleshwaram,4 BHK,,30,No Access,6500,4.0,3.0,1400.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,107,Paved,1165,2.0,2.0,64.08
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SKvanin,129,Paved,943 - 1220,2.0,0.0,38.665
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,94,No Access,1787,3.0,2.0,107.0
Plot  Area,Ready To Move,Mico Layout,4 Bedroom,,148,Paved,3600,4.0,,330.0
Plot  Area,Ready To Move,Battarahalli,6 Bedroom,,13,No Access,1200,6.0,1.0,100.0
Built-up  Area,18-Dec,Electronic City,2 BHK,Itelaa ,5,Gravel,1020,2.0,1.0,29.45
Super built-up  Area,18-Jul,Sarjapur  Road,3 BHK,Ceiti I,163,Paved,1797,4.0,1.0,95.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Viaree ,29,No Access,1205,2.0,2.0,58.0
Super built-up  Area,18-Dec,Chennammana Kere,2 BHK,,169,Gravel,1095,2.0,2.0,55.85
Built-up  Area,Ready To Move,Yelahanka,3 BHK,PuziaVe,158,Paved,1560,2.0,2.0,98.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,178,No Access,1200,2.0,1.0,68.0
Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,,149,Paved,1200,1.0,1.0,200.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,2,Gravel,1450,3.0,2.0,65.0
Super built-up  Area,18-Mar,Whitefield,3 BHK,Asarqz ,120,Paved,1496,2.0,1.0,718.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,197,Gravel,1935,4.0,2.0,122.0
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,SSaleRo,145,No Access,1016,2.0,1.0,45.0
Super built-up  Area,19-Dec,Jakkur,3 BHK,Ceezey ,160,Gravel,1816,3.0,1.0,119.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,15,Paved,1680,3.0,2.0,125.0
Super built-up  Area,19-Dec,Hoodi,4 BHK,Caycend,49,No Access,2041 - 2090,4.0,0.0,91.915
Super built-up  Area,Ready To Move,Kengeri,2 BHK,DRens A,185,Gravel,1220,2.0,2.0,63.0
Plot  Area,Ready To Move,Hosur Road,4 Bedroom,Nanuena,113,Gravel,3000,4.0,2.0,160.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,181,Gravel,980,2.0,1.0,86.0
Plot  Area,Ready To Move,Nagarbhavi,4 Bedroom,,58,Paved,1200,4.0,3.0,210.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Atreli ,182,Gravel,1250,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,Arzzo P,132,No Access,1424,2.0,3.0,80.0
Built-up  Area,Ready To Move,Hennur Road,2 BHK,DSeldpr,73,No Access,1297,2.0,1.0,49.9
Plot  Area,18-Dec,Karuna Nagar,3 Bedroom,Ajows V,195,Gravel,1300,3.0,1.0,170.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,157,Gravel,1290,2.0,1.0,89.9
Super built-up  Area,Ready To Move,Koramangala,3 BHK,KHage G,197,No Access,1720,2.0,1.0,130.0
Super built-up  Area,Ready To Move,Judicial Layout,7 BHK,,137,Gravel,1200,7.0,2.0,199.0
Plot  Area,Ready To Move,Deepanjali Nagar,3 Bedroom,,123,Gravel,2320,2.0,0.0,160.0
Super built-up  Area,Ready To Move,Nallurhalli,3 BHK,TrryaAi,78,No Access,1237,3.0,2.0,78.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Gotis A,84,Gravel,1720,3.0,3.0,98.97
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,SurtsCo,66,Gravel,1224,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PuziaVe,141,No Access,1780,3.0,2.0,107.0
Plot  Area,Ready To Move,Seegehalli,4 Bedroom,Stndeil,84,No Access,4700,5.0,3.0,800.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,,155,Paved,1800,3.0,2.0,93.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,72,Gravel,1139,2.0,2.0,56.5
Plot  Area,18-May,Pulkeshi Nagar,1 Bedroom,,102,Gravel,588,1.0,0.0,88.2
Super built-up  Area,22-Dec,2nd Phase Judicial Layout,2 BHK,,70,No Access,700,2.0,1.0,35.0
Plot  Area,Ready To Move,Kengeri,1 Bedroom,,103,Gravel,1150,1.0,0.0,52.0
Super built-up  Area,18-Aug,Channasandra,3 BHK,,198,Paved,1330,2.0,2.0,51.83
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,115,No Access,2732,4.0,3.0,194.0
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,,55,Paved,965,2.0,1.0,38.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Aangsur,71,Gravel,1600,3.0,2.0,95.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,2 BHK,,62,Paved,1464,2.0,2.0,56.0
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,APuraen,27,Paved,3100,3.0,,400.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,49,No Access,1075,2.0,1.0,45.0
Plot  Area,Ready To Move,Kengeri Hobli,2 Bedroom,,159,No Access,1840,1.0,0.0,95.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,,93,No Access,1223,3.0,2.0,39.14
Super built-up  Area,18-Dec,Ramamurthy Nagar,2 BHK,Vaharvi,61,Gravel,1170,2.0,2.0,44.0
Super built-up  Area,18-Apr,Old Madras Road,4 BHK,Brica E,14,Paved,3630,6.0,1.0,207.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Sririth,56,Paved,950,2.0,2.0,35.0
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Tusom B,39,Gravel,5400,3.0,2.0,400.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Palleon,45,Paved,865,2.0,1.0,40.0
Plot  Area,Ready To Move,Kirloskar Layout,4 Bedroom,,113,No Access,2400,4.0,2.0,89.0
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,53,Gravel,1169,2.0,2.0,75.0
Built-up  Area,Ready To Move,Hormavu,2 BHK,,133,Gravel,1206,2.0,,40.0
Plot  Area,Ready To Move,SARJAPUR BAGALUR ROAD,4 Bedroom,,21,Paved,10961,4.0,1.0,80.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,133,Gravel,1683,3.0,1.0,110.0
Super built-up  Area,18-May,Mico Layout,3 BHK,,178,Gravel,1250,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Green Glen Layout,4 BHK,,92,No Access,3150,4.0,3.0,218.0
Plot  Area,Ready To Move,B Y Raveshwara Nagar,4 Bedroom,,38,No Access,1200,2.0,1.0,140.0
Carpet  Area,18-Dec,Bhoganhalli,3 BHK,Rosha I,138,Paved,1234.6,3.0,1.0,104.0
Super built-up  Area,21-Jun,Vijayanagar,1 BHK,Saahaat,100,Gravel,492,1.0,1.0,40.0
Built-up  Area,Ready To Move,Banashankari,2 BHK,Sriseva,191,Gravel,600,1.0,0.0,27.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Mykyayi,36,Gravel,1902,3.0,2.0,89.0
Plot  Area,18-May,Kothnur Narayanapura,6 Bedroom,,37,No Access,1200,6.0,,125.0
Super built-up  Area,18-Nov,Govindpura,3 BHK,,158,Paved,1639,3.0,1.0,77.89
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Ocrda M,68,Gravel,1214,2.0,3.0,67.0
Built-up  Area,Ready To Move,Kadabagere,2 BHK,Jahipa ,109,No Access,565,2.0,1.0,15.0
Plot  Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,,185,Gravel,2520,4.0,1.0,378.0
Super built-up  Area,18-Dec,Harlur,2 BHK,BrriaIm,107,No Access,1386,2.0,2.0,85.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Guranya,181,No Access,1535,3.0,3.0,60.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,RookaJh,165,No Access,1720,3.0,,175.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,SrncyRe,179,Paved,1370,2.0,2.0,54.79
Built-up  Area,18-Mar,Bannerghatta Road,3 BHK,SNity S,36,Gravel,1655,3.0,3.0,90.0
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,Saata S,173,Paved,1200,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,Saaksa ,3,Paved,1610,3.0,3.0,68.0
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,126,No Access,2200,4.0,2.0,130.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,75,No Access,1200,2.0,0.0,66.0
Super built-up  Area,Ready To Move,Mahalakshmi Layout,2 BHK,,74,Gravel,1105,2.0,1.0,80.0
Plot  Area,Ready To Move,Banjara Layout,2 Bedroom,,1,No Access,753,3.0,3.0,59.5
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Prtates,7,Gravel,1655,3.0,1.0,108.0
Built-up  Area,Ready To Move,KR Garden,3 Bedroom,,13,Paved,1700,3.0,1.0,250.0
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,Prodsth,6,Paved,770,2.0,2.0,30.0
Super built-up  Area,18-May,Balagere,2 BHK,Soresea,84,No Access,1210,2.0,1.0,69.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,,93,Paved,965,2.0,2.0,37.15
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,PrarePa,196,No Access,700,1.0,1.0,41.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Veales ,144,No Access,1740,3.0,2.0,95.0
Built-up  Area,18-Dec,Electronic City Phase II,3 BHK,Sryalan,187,No Access,1310,2.0,1.0,37.84
Super built-up  Area,17-Oct,Sarjapur  Road,3 BHK,Asuceis,58,Paved,1763.25,3.0,3.0,98.0
Super built-up  Area,Ready To Move,Basaveshwara Nagar,3 BHK,Suncy R,50,No Access,1900,3.0,3.0,150.0
Plot  Area,Ready To Move,Kammanahalli,6 Bedroom,,42,Gravel,1000,6.0,3.0,150.0
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,DSillto,115,No Access,1450,2.0,2.0,55.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Pu270a ,137,Paved,1836,3.0,2.0,148.0
Super built-up  Area,Ready To Move,Hoodi Layout,2 BHK,SVstos ,73,Gravel,1160,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,AdestAs,45,Gravel,1153,2.0,1.0,43.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,SatatHa,62,No Access,1285,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Rest House Road,3 BHK,,137,Paved,2500,3.0,2.0,400.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,192,Gravel,1194,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Kadubeesanahalli,2 BHK,Krshi G,19,Gravel,1257,2.0,1.0,105.0
Plot  Area,Ready To Move,Whitefield,3 Bedroom,Anlthmo,42,No Access,1200,3.0,1.0,56.72
Carpet  Area,19-Jun,Hormavu,1 BHK,Kolisl ,167,Paved,527 - 639,1.0,0.0,28.275
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Sahtsva,123,Gravel,1240,2.0,1.0,79.0
Super built-up  Area,Ready To Move,Basapura,3 BHK,Jaangm ,185,Paved,1294,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Nagondanahalli,2 BHK,DSldsen,129,No Access,1095,2.0,1.0,45.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,137,Paved,1145,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Saitya ,126,Gravel,1826,3.0,2.0,130.0
Super built-up  Area,18-Jul,Electronics City Phase 1,2 BHK,Maavera,145,Gravel,1314,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,KHage G,74,Gravel,1900,2.0,1.0,120.0
Super built-up  Area,18-May,KEB Colony,2 BHK,,101,Gravel,1040,2.0,2.0,36.84
Super built-up  Area,Ready To Move,Jakkur,2 BHK,BrdgeNo,31,Gravel,1290,2.0,1.0,85.0
Plot  Area,Ready To Move,Kodigehaali,4 Bedroom,,187,No Access,1200,4.0,0.0,130.0
Super built-up  Area,Ready To Move,Gollahalli,3 BHK,SuanaNa,168,No Access,1325,2.0,1.0,47.0
Super built-up  Area,19-Oct,Hebbal,3 BHK,SNontle,123,Paved,2600,3.0,2.0,195.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,,50,No Access,1129,2.0,1.0,44.0
Super built-up  Area,20-Jan,Balagere,1 BHK,Soresea,99,Gravel,645 - 936,1.0,0.0,42.295
Built-up  Area,Ready To Move,Hebbal,2 BHK,Diaveic,22,No Access,1075,2.0,0.0,52.0
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,200,Gravel,1108,2.0,1.0,48.0
Built-up  Area,Ready To Move,Ananth Nagar,2 BHK,,137,Paved,810,2.0,1.0,25.5
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,MJarlPe,43,No Access,1155,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Rajaji Nagar,6 BHK,,102,Gravel,3900,6.0,3.0,260.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,,8,Gravel,2367,3.0,3.0,375.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SJityaz,75,Gravel,1550,2.0,2.0,98.0
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,,3,Paved,1100,2.0,2.0,38.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,197,No Access,1452,3.0,3.0,54.2
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,167,No Access,1141,2.0,2.0,54.0
Super built-up  Area,Ready To Move,HOSUR RMAIN ROAD,3 BHK,,80,Paved,1464,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Hanumanth Nagar,3 BHK,Saersel,170,No Access,1500,3.0,3.0,67.49
Super built-up  Area,Ready To Move,Anekal,1 BHK,,50,No Access,456,1.0,1.0,15.0
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,66,Gravel,1200,4.0,1.0,125.0
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,94,No Access,3122,6.0,2.0,245.0
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,128,No Access,760,2.0,2.0,37.49
Plot  Area,Ready To Move,Koramangala,6 Bedroom,,97,No Access,2400,6.0,0.0,480.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,Mavanru,140,Gravel,800,2.0,2.0,32.0
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,GRlpank,174,Paved,1180,2.0,1.0,71.22
Carpet  Area,Ready To Move,Kaggadasapura,2 BHK,Chisea ,3,Paved,775,2.0,2.0,29.5
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,171,Gravel,1145,2.0,2.0,49.5
Super built-up  Area,Ready To Move,Konappana Agrahara,2 BHK,,191,Gravel,1060,2.0,1.0,42.5
Super built-up  Area,Ready To Move,Cooke Town,4 BHK,,107,No Access,3900,5.0,,415.0
Super built-up  Area,19-Sep,Yelahanka New Town,3 BHK,,65,Gravel,1420,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,161,Paved,2439,4.0,3.0,190.0
Plot  Area,Ready To Move,1st Phase JP Nagar,4 Bedroom,,75,No Access,1200,4.0,2.0,300.0
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,155,No Access,1111,2.0,1.0,49.43
Built-up  Area,Ready To Move,Jeevan bima nagar,2 Bedroom,,61,Paved,984,2.0,2.0,125.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,20,No Access,1200,2.0,2.0,42.0
Super built-up  Area,18-Oct,Bannerghatta Road,2 BHK,DSnjh S,23,Paved,1247,2.0,1.0,47.39
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,47,No Access,1050,2.0,1.0,77.47
Super built-up  Area,Ready To Move,Devanahalli,3 BHK,,121,Gravel,1550,3.0,1.0,85.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,167,Paved,1270,2.0,1.0,80.0
Super built-up  Area,18-Apr,Balagere,2 BHK,Soresea,100,Paved,1012,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Shncy R,176,Paved,970,2.0,2.0,34.0
Super built-up  Area,18-Feb,Thanisandra,2 BHK,Bhmesy ,23,Gravel,933,2.0,1.0,55.0
Plot  Area,18-Aug,Sarjapur,3 Bedroom,Icaryan,104,Paved,1200,3.0,2.0,76.13
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,23,No Access,1148,2.0,2.0,69.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Vasta C,25,No Access,1463,2.0,1.0,61.45
Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,Reicace,95,Gravel,1719,3.0,2.0,110.0
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,11,No Access,1350,2.0,1.0,88.0
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,FoncyRe,197,No Access,1250,2.0,2.0,47.0
Built-up  Area,Ready To Move,1st Block Jayanagar,8 Bedroom,,24,No Access,1700,3.0,2.0,50.0
Plot  Area,Ready To Move,Mahalakshmi Layout,9 Bedroom,,137,Gravel,4320,7.0,2.0,821.0
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,142,Paved,1200,2.0,1.0,75.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,Niborik,123,No Access,1030,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Rajasree Layout,3 BHK,Itbhaa ,85,Gravel,1420,3.0,3.0,70.0
Plot  Area,Ready To Move,Ramagondanahalli,5 Bedroom,Adion A,0,Paved,9600,6.0,1.0,1800.0
Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,Soazak ,70,Paved,1703,3.0,2.0,126.0
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Brglede,14,Gravel,1210,2.0,1.0,80.0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,108,Gravel,1210,2.0,1.0,50.0
Plot  Area,18-Aug,Veer Sandra,4 Bedroom,Thessie,121,No Access,3000,4.0,3.0,264.0
Super built-up  Area,Ready To Move,Chikkadunnasandra,3 BHK,Krz 2 Q,97,Paved,1398,3.0,0.0,51.0
Super built-up  Area,Ready To Move,Nagavarapalya,2 BHK,Goeenes,101,Gravel,1335,2.0,3.0,110.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,11,Gravel,1255,2.0,1.0,52.32
Plot  Area,Ready To Move,Mysore Road,4 Bedroom,,168,Paved,540,4.0,2.0,85.0
Super built-up  Area,18-Apr,Babusapalaya,3 BHK,,56,Paved,1213,2.0,1.0,36.37
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,162,Gravel,1240,2.0,2.0,42.04
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,NCarkna,124,No Access,1076,2.0,1.0,78.0
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,150,Gravel,1320,2.0,3.0,90.0
Super built-up  Area,19-Mar,Whitefield,2 BHK,Prtates,39,No Access,1216,2.0,1.0,80.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,116,Gravel,1100,2.0,2.0,42.0
Super built-up  Area,19-Mar,Thanisandra,2 BHK,Bhe 2ko,103,Paved,1183,2.0,1.0,77.3
Super built-up  Area,20-Jan,Balagere,1 BHK,Soresea,87,Paved,656,1.0,1.0,38.77
Super built-up  Area,19-Dec,Sarjapur  Road,1 BHK,Daivon ,48,Gravel,534,1.0,1.0,19.65
Super built-up  Area,Ready To Move,Shikaripalya,3 BHK,GKowsea,25,Gravel,1285,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,49,Gravel,2087.01,4.0,2.0,135.0
Built-up  Area,18-Dec,"Off Sarjapur Road, ",2 BHK,,172,Gravel,1161,2.0,1.0,59.0
Built-up  Area,Ready To Move,Begur,2 BHK,Arntyi ,172,Paved,1306,2.0,3.0,65.0
Super built-up  Area,22-May,Jakkur,4 BHK,SoineC ,138,Paved,2249.81,4.0,2.0,245.0
Built-up  Area,Ready To Move,Tata Nagar,3 BHK,Karchru,146,Paved,1504,3.0,2.0,67.0
Super built-up  Area,18-May,Balagere,1 BHK,Soresea,71,No Access,645,1.0,1.0,39.0
Plot  Area,Ready To Move,Esther Enclave Layout,2 Bedroom,,51,Paved,1230,2.0,0.0,68.0
Built-up  Area,Ready To Move,Hebbal,2 BHK,,53,Paved,1100,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,,5,Paved,1000,1.0,0.0,14.0
Super built-up  Area,18-Jun,Sadaramangala,2 BHK,Maade P,79,No Access,1260,2.0,1.0,62.0
Built-up  Area,Ready To Move,Ambalipura,3 BHK,,143,Paved,1817,3.0,3.0,102.0
Super built-up  Area,19-Jan,Kodihalli,4 BHK,Priesla,188,No Access,3626,5.0,3.0,785.0
Super built-up  Area,18-Apr,Basavangudi,2 BHK,,178,Gravel,1180,2.0,3.0,124.0
Built-up  Area,Ready To Move,KR Puram,2 BHK,Esnamth,186,Paved,1050,2.0,2.0,55.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,MIntare,2,Paved,2900,4.0,3.0,225.0
Built-up  Area,Ready To Move,Kasavanhalli,3 Bedroom,,131,No Access,2110,4.0,3.0,120.0
Built-up  Area,Ready To Move,Mysore Road,1 BHK,,185,No Access,500,1.0,1.0,17.5
Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,,28,No Access,1930,3.0,3.0,75.0
Plot  Area,Ready To Move,Harappanahalli,4 Bedroom,Nioutar,98,Gravel,4560,5.0,,430.0
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Maourit,40,Paved,1505,3.0,2.0,64.0
Plot  Area,Ready To Move,Jayamahal,4 Bedroom,,8,No Access,2400,3.0,1.0,750.0
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,,33,No Access,890,2.0,1.0,27.0
Plot  Area,19-Jan,Anekal,2 Bedroom,,148,Gravel,1200,1.0,1.0,36.0
Super built-up  Area,18-Dec,Gunjur Palya,2 BHK,,101,No Access,849,2.0,2.0,25.4
Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,,164,No Access,1555,3.0,1.0,100.0
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,,157,No Access,600,2.0,1.0,85.0
Carpet  Area,Ready To Move,KR Puram,2 BHK,Shionya,144,No Access,1057,2.0,2.0,30.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,140,Gravel,1680,3.0,2.0,122.0
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,185,No Access,799,2.0,1.0,35.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,170,Gravel,1450,2.0,1.0,75.0
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,186,No Access,1819,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,80,Paved,1135,2.0,1.0,56.74
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,PuontFa,181,Paved,2020,3.0,2.0,160.0
